test_session_id,avg_response_time,min_response_time,max_response_time,avg_error_rate
88,3149.329999999702,1335.39999999851,6819.29999999702,0.0
99,3052.260000000149,1904.3000000044703,6743.79999999702,0.0
110,2825.588299999851,663.983,6129.5,0.0
141,76.05170000000001,7.399999998509884,655.517,0.9
142,76.13239999895691,7.399999998509884,650.524,0.9
